home_club,away_club,home_goals,away_goals,home_yellow_cards,away_yellow_cards,ano
São Paulo,Vasco da Gama,2,1,2,2,2018
Fluminense,Bahia,1,1,4,2,2018
Sport Recife,Chapecoense,1,1,1,1,2018
Atlético-MG,Internacional,0,1,1,1,2018
Ceará SC,Santos,1,1,3,2,2018
Bahia,Internacional,0,1,1,2,2018
Paraná,São Paulo,1,1,3,1,2018
Palmeiras,Botafogo,2,0,2,5,2018
Sport Recife,América-MG,0,2,2,2,2018
Fluminense,Corinthians,1,0,1,2,2018
Grêmio,Cruzeiro,1,1,2,4,2018
Flamengo,EC Vitória,1,0,2,2,2018
Atlético-MG,Vasco da Gama,0,0,2,4,2018
Chapecoense,Athletico-PR,2,1,1,3,2018
Ceará SC,Athletico-PR,0,0,3,3,2018
Bahia,América-MG,1,0,1,4,2018
Paraná,Botafogo,1,1,3,4,2018
Atlético-MG,Santos,3,1,2,0,2018
Sport Recife,São Paulo,1,3,1,3,2018
Flamengo,Cruzeiro,1,0,3,3,2018
Chapecoense,Corinthians,2,1,1,2,2018
Grêmio,EC Vitória,4,0,1,3,2018
Palmeiras,Vasco da Gama,1,0,1,2,2018
Fluminense,Internacional,0,3,3,3,2018
Santos,Sport Recife,3,0,3,3,2018
Corinthians,Grêmio,0,1,1,1,2018
Athletico-PR,Flamengo,3,0,3,1,2018
Internacional,Paraná,1,0,3,5,2018
EC Vitória,Palmeiras,0,3,2,1,2018
Botafogo,Atlético-MG,0,3,2,4,2018
Cruzeiro,Bahia,1,1,2,2,2018
América-MG,Fluminense,0,0,2,0,2018
São Paulo,Chapecoense,2,0,2,1,2018
Vasco da Gama,Ceará SC,1,1,1,1,2018
Santos,Bahia,2,0,1,2,2018
Corinthians,Paraná,1,0,3,4,2018
Athletico-PR,Grêmio,2,1,2,2,2018
Cruzeiro,Fluminense,2,1,4,3,2018
Botafogo,Sport Recife,2,0,2,2,2018
São Paulo,Ceará SC,1,0,3,6,2018
América-MG,Flamengo,2,2,3,2,2018
Internacional,Palmeiras,0,0,2,3,2018
EC Vitória,Atlético-MG,1,0,2,3,2018
Vasco da Gama,Chapecoense,3,1,3,2,2018
EC Vitória,América-MG,1,0,5,1,2018
Grêmio,Botafogo,4,0,2,3,2018
Vasco da Gama,Santos,0,3,1,1,2018
Corinthians,Atlético-MG,1,1,1,3,2018
Flamengo,Ceará SC,0,1,2,2,2018
Athletico-PR,Bahia,2,0,2,2,2018
Sport Recife,Paraná,1,0,3,2,2018
São Paulo,Fluminense,1,1,2,2,2018
Cruzeiro,Internacional,0,0,3,2,2018
Chapecoense,Palmeiras,1,2,4,4,2018
Bahia,Sport Recife,2,0,1,1,2018
Botafogo,Cruzeiro,1,1,3,3,2018
Ceará SC,Corinthians,2,1,6,2,2018
Palmeiras,Athletico-PR,2,0,2,3,2018
Paraná,Chapecoense,1,1,2,2,2018
Atlético-MG,São Paulo,1,0,3,1,2018
Internacional,Flamengo,2,1,4,1,2018
Santos,Grêmio,0,0,2,1,2018
Fluminense,EC Vitória,0,0,1,1,2018
América-MG,Vasco da Gama,2,1,1,1,2018
Sport Recife,Cruzeiro,0,0,3,1,2018
São Paulo,Bahia,1,0,3,2,2018
Flamengo,Chapecoense,2,0,2,2,2018
América-MG,Ceará SC,0,0,1,1,2018
Palmeiras,Corinthians,1,0,2,3,2018
Fluminense,Botafogo,1,0,3,4,2018
Internacional,Grêmio,1,0,5,5,2018
Paraná,Santos,0,2,4,3,2018
EC Vitória,Vasco da Gama,1,0,4,1,2018
Atlético-MG,Athletico-PR,3,1,4,5,2018
Ceará SC,EC Vitória,2,0,2,4,2018
Grêmio,Paraná,2,0,1,1,2018
Vasco da Gama,Flamengo,1,1,3,2,2018
Botafogo,América-MG,1,0,1,1,2018
Cruzeiro,Atlético-MG,0,0,3,1,2018
Bahia,Palmeiras,1,1,1,2,2018
Athletico-PR,Fluminense,3,1,3,2,2018
Santos,São Paulo,0,0,7,4,2018
Corinthians,Sport Recife,2,1,2,1,2018
Chapecoense,Internacional,2,1,4,3,2018
São Paulo,América-MG,1,1,1,1,2018
Grêmio,Ceará SC,3,2,3,1,2018
Athletico-PR,Paraná,3,0,0,4,2018
Flamengo,Atlético-MG,2,1,2,2,2018
Corinthians,Internacional,1,1,0,2,2018
Sport Recife,Palmeiras,0,1,2,2,2018
EC Vitória,Botafogo,3,4,1,4,2018
Cruzeiro,Santos,2,1,2,2,2018
Chapecoense,Fluminense,1,2,3,3,2018
Vasco da Gama,Bahia,2,1,5,2,2018
Fluminense,Grêmio,0,1,1,2,2018
América-MG,Corinthians,0,0,0,1,2018
Bahia,Flamengo,0,0,2,1,2018
Palmeiras,Cruzeiro,3,1,5,6,2018
Atlético-MG,Sport Recife,5,2,1,4,2018
Santos,Athletico-PR,1,0,2,6,2018
Botafogo,São Paulo,2,2,1,2,2018
Internacional,EC Vitória,2,1,3,6,2018
Ceará SC,Chapecoense,3,1,4,5,2018
Paraná,Vasco da Gama,1,1,1,0,2018
Sport Recife,Internacional,2,1,4,1,2018
Corinthians,Flamengo,0,3,2,1,2018
EC Vitória,Santos,0,1,3,2,2018
Athletico-PR,América-MG,4,0,3,3,2018
Chapecoense,Atlético-MG,1,0,3,3,2018
São Paulo,Palmeiras,0,2,2,3,2018
Grêmio,Bahia,2,2,2,4,2018
Fluminense,Paraná,4,0,1,2,2018
Botafogo,Vasco da Gama,1,1,3,2,2018
Cruzeiro,Ceará SC,0,2,1,3,2018
Flamengo,Fluminense,3,0,2,3,2018
Santos,Corinthians,1,0,3,3,2018
Bahia,Paraná,2,0,3,3,2018
Chapecoense,EC Vitória,0,1,3,2,2018
Vasco da Gama,Cruzeiro,2,0,6,2,2018
Internacional,São Paulo,3,1,0,4,2018
Palmeiras,Grêmio,2,0,4,2,2018
Atlético-MG,América-MG,0,0,1,0,2018
Athletico-PR,Sport Recife,4,0,0,3,2018
Ceará SC,Botafogo,0,0,1,3,2018
América-MG,Grêmio,1,1,0,0,2018
Botafogo,Bahia,0,1,2,1,2018
São Paulo,Athletico-PR,0,0,3,2,2018
Sport Recife,Vasco da Gama,2,1,0,3,2018
EC Vitória,Corinthians,2,2,1,4,2018
Fluminense,Atlético-MG,1,0,2,2,2018
Palmeiras,Ceará SC,2,1,5,2,2018
Cruzeiro,Chapecoense,3,0,2,1,2018
Paraná,Flamengo,0,4,1,0,2018
Internacional,Santos,2,2,1,3,2018
EC Vitória,São Paulo,0,1,1,2,2018
Vasco da Gama,Internacional,1,1,3,5,2018
Santos,Fluminense,3,0,2,3,2018
Grêmio,Sport Recife,3,4,2,2,2018
Corinthians,Bahia,2,1,3,3,2018
Chapecoense,América-MG,1,0,3,4,2018
Flamengo,Palmeiras,1,1,2,5,2018
Cruzeiro,Paraná,3,1,0,2,2018
Athletico-PR,Botafogo,2,1,2,5,2018
Ceará SC,Atlético-MG,2,1,2,4,2018
Fluminense,Vasco da Gama,0,1,2,3,2018
Atlético-MG,Grêmio,0,1,4,1,2018
Palmeiras,Santos,3,2,3,5,2018
América-MG,Cruzeiro,1,2,3,1,2018
Paraná,EC Vitória,1,1,3,4,2018
São Paulo,Flamengo,2,2,2,1,2018
Botafogo,Corinthians,1,0,1,2,2018
Internacional,Athletico-PR,2,1,2,3,2018
Bahia,Chapecoense,1,0,1,1,2018
Sport Recife,Ceará SC,1,0,3,3,2018
América-MG,Paraná,0,1,3,1,2018
Corinthians,São Paulo,1,1,1,3,2018
Botafogo,Flamengo,2,1,4,6,2018
Athletico-PR,Cruzeiro,2,0,4,7,2018
EC Vitória,Bahia,2,2,3,4,2018
Ceará SC,Internacional,1,1,2,5,2018
Atlético-MG,Palmeiras,1,1,3,2,2018
Grêmio,Vasco da Gama,2,1,2,4,2018
Fluminense,Sport Recife,0,0,0,2,2018
Santos,Chapecoense,0,1,2,1,2018
Vasco da Gama,Athletico-PR,1,1,1,0,2018
Bahia,Ceará SC,2,1,2,3,2018
Paraná,Atlético-MG,0,1,4,3,2018
Sport Recife,EC Vitória,0,0,4,4,2018
Palmeiras,Fluminense,3,0,6,5,2018
Cruzeiro,Corinthians,1,0,2,2,2018
Chapecoense,Botafogo,0,1,1,2,2018
Flamengo,Santos,1,0,3,5,2018
São Paulo,Grêmio,1,1,1,2,2018
Internacional,América-MG,2,0,1,2,2018
Corinthians,Vasco da Gama,1,0,2,2,2018
EC Vitória,Athletico-PR,1,2,3,3,2018
Atlético-MG,Bahia,1,0,3,3,2018
Paraná,Palmeiras,1,1,4,2,2018
América-MG,Santos,2,1,6,1,2018
Sport Recife,Flamengo,0,1,1,1,2018
Botafogo,Internacional,1,0,2,4,2018
São Paulo,Cruzeiro,1,0,2,2,2018
Grêmio,Chapecoense,2,0,2,2,2018
Fluminense,Ceará SC,0,0,4,3,2018
Internacional,Atlético-MG,1,2,1,2,2018
Santos,Botafogo,1,1,2,2,2018
Athletico-PR,Corinthians,1,0,2,4,2018
Palmeiras,América-MG,4,0,0,6,2018
Flamengo,Grêmio,2,0,2,3,2018
Cruzeiro,EC Vitória,3,0,2,1,2018
Vasco da Gama,São Paulo,2,0,2,4,2018
Ceará SC,Paraná,1,0,2,1,2018
Bahia,Fluminense,2,0,2,1,2018
Chapecoense,Sport Recife,2,1,2,1,2018
Santos,Atlético-MG,3,2,4,1,2018
Athletico-PR,Ceará SC,2,2,3,4,2018
Cruzeiro,Flamengo,0,2,6,3,2018
EC Vitória,Grêmio,0,0,2,4,2018
Vasco da Gama,Palmeiras,0,1,4,5,2018
Internacional,Fluminense,2,0,3,2,2018
América-MG,Bahia,1,0,2,2,2018
Corinthians,Chapecoense,0,0,2,1,2018
Botafogo,Paraná,2,1,1,3,2018
São Paulo,Sport Recife,0,0,2,3,2018
Flamengo,Athletico-PR,1,2,4,1,2018
Atlético-MG,Botafogo,1,0,4,3,2018
Ceará SC,Vasco da Gama,0,0,3,2,2018
Grêmio,Corinthians,1,0,2,4,2018
Bahia,Cruzeiro,0,0,4,1,2018
Sport Recife,Santos,2,1,3,1,2018
Paraná,Internacional,1,1,1,2,2018
Fluminense,América-MG,1,0,5,2,2018
Chapecoense,São Paulo,1,0,0,3,2018
Palmeiras,EC Vitória,3,2,2,2,2018
São Paulo,Botafogo,2,0,0,4,2019
Atlético-MG,Avaí,2,1,0,1,2019
Chapecoense,Internacional,2,0,1,1,2019
Flamengo,Cruzeiro,3,1,4,5,2019
Grêmio,Santos,1,2,3,4,2019
Bahia,Corinthians,3,2,1,4,2019
Athletico-PR,Vasco da Gama,4,1,1,1,2019
Ceará SC,CSA,4,0,0,0,2019
Palmeiras,Fortaleza,4,0,1,2,2019
Fluminense,Goiás,0,1,4,1,2019
Internacional,Flamengo,2,1,3,2,2019
CSA,Palmeiras,1,1,0,0,2019
Corinthians,Chapecoense,1,0,2,1,2019
Cruzeiro,Ceará SC,1,0,1,0,2019
Avaí,Grêmio,1,1,4,3,2019
Goiás,São Paulo,1,2,3,2,2019
Vasco da Gama,Atlético-MG,1,2,0,0,2019
Fortaleza,Athletico-PR,2,1,3,3,2019
Santos,Fluminense,2,1,3,2,2019
Botafogo,Bahia,3,2,3,0,2019
Vasco da Gama,Corinthians,1,1,2,1,2019
Palmeiras,Internacional,1,0,2,5,2019
Ceará SC,Atlético-MG,1,2,0,1,2019
Chapecoense,Athletico-PR,1,1,1,3,2019
São Paulo,Flamengo,1,1,1,7,2019
Botafogo,Fortaleza,1,0,0,2,2019
CSA,Santos,0,0,1,4,2019
Cruzeiro,Goiás,2,1,1,2,2019
Grêmio,Fluminense,4,5,2,1,2019
Bahia,Avaí,1,0,1,2,2019
Fluminense,Botafogo,0,1,3,5,2019
Corinthians,Grêmio,0,0,2,4,2019
Goiás,Ceará SC,2,1,2,2,2019
Flamengo,Chapecoense,2,1,2,3,2019
Santos,Vasco da Gama,3,0,2,4,2019
Atlético-MG,Palmeiras,0,2,1,3,2019
Internacional,Cruzeiro,3,1,0,0,2019
Avaí,CSA,0,0,1,2,2019
Athletico-PR,Bahia,1,0,2,3,2019
Fortaleza,São Paulo,0,1,2,2,2019
Fluminense,Cruzeiro,4,1,3,2,2019
Palmeiras,Santos,4,0,2,4,2019
Atlético-MG,Flamengo,2,1,3,1,2019
São Paulo,Bahia,0,0,1,3,2019
Internacional,CSA,2,0,2,3,2019
Athletico-PR,Corinthians,0,2,1,4,2019
Goiás,Botafogo,1,0,1,3,2019
Chapecoense,Fortaleza,1,3,1,1,2019
Vasco da Gama,Avaí,1,1,1,2,2019
Ceará SC,Grêmio,2,1,3,6,2019
Botafogo,Palmeiras,0,1,10,0,2019
Grêmio,Atlético-MG,1,0,1,4,2019
Flamengo,Athletico-PR,3,2,4,3,2019
Santos,Internacional,0,0,5,5,2019
Fortaleza,Vasco da Gama,1,1,1,2,2019
Cruzeiro,Chapecoense,1,2,1,3,2019
Bahia,Fluminense,3,2,2,3,2019
Corinthians,São Paulo,1,0,3,4,2019
CSA,Goiás,1,0,3,1,2019
Avaí,Ceará SC,1,2,4,3,2019
Flamengo,Fortaleza,2,0,1,0,2019
Bahia,Grêmio,1,0,1,2,2019
Botafogo,Vasco da Gama,1,0,2,3,2019
Ceará SC,Santos,0,1,2,1,2019
Athletico-PR,Fluminense,3,0,1,3,2019
São Paulo,Cruzeiro,1,1,2,3,2019
Atlético-MG,CSA,4,0,0,3,2019
Chapecoense,Palmeiras,1,2,2,5,2019
Internacional,Avaí,2,0,0,0,2019
Corinthians,Goiás,2,0,1,2,2019
Vasco da Gama,Internacional,2,1,0,2,2019
Palmeiras,Athletico-PR,1,0,2,4,2019
Grêmio,Fortaleza,1,0,1,4,2019
Cruzeiro,Corinthians,0,0,1,1,2019
Ceará SC,Bahia,0,0,2,2,2019
Avaí,São Paulo,0,0,5,2,2019
CSA,Botafogo,1,2,2,1,2019
Fluminense,Flamengo,0,0,2,3,2019
Santos,Atlético-MG,3,1,1,2,2019
Goiás,Chapecoense,3,1,2,0,2019
Botafogo,Grêmio,0,1,1,2,2019
Fortaleza,Cruzeiro,2,1,1,6,2019
Internacional,Bahia,3,1,1,1,2019
CSA,Flamengo,0,2,3,1,2019
Santos,Corinthians,1,0,4,4,2019
Vasco da Gama,Ceará SC,1,0,0,2,2019
Chapecoense,Fluminense,1,1,2,6,2019
Palmeiras,Avaí,2,0,1,1,2019
Atlético-MG,São Paulo,1,1,2,4,2019
Goiás,Athletico-PR,2,1,1,3,2019
Grêmio,Vasco da Gama,2,1,2,4,2019
Fortaleza,Avaí,2,0,2,2,2019
Bahia,Santos,0,1,2,3,2019
São Paulo,Palmeiras,1,1,3,3,2019
Flamengo,Goiás,6,1,1,2,2019
Corinthians,CSA,1,0,2,6,2019
Athletico-PR,Internacional,1,0,3,3,2019
Cruzeiro,Botafogo,0,0,0,0,2019
Chapecoense,Atlético-MG,1,2,3,5,2019
Fluminense,Ceará SC,1,1,2,2,2019
Vasco da Gama,Fluminense,2,1,4,3,2019
Bahia,Cruzeiro,0,0,2,1,2019
Ceará SC,Palmeiras,2,0,3,2,2019
CSA,Athletico-PR,0,4,2,1,2019
Internacional,Grêmio,1,1,3,2,2019
Botafogo,Santos,0,1,2,3,2019
Atlético-MG,Fortaleza,2,2,1,4,2019
Corinthians,Flamengo,1,1,1,4,2019
Avaí,Goiás,0,0,4,2,2019
São Paulo,Chapecoense,4,0,1,3,2019
Palmeiras,Vasco da Gama,1,1,1,4,2019
Cruzeiro,Athletico-PR,0,2,1,0,2019
Fluminense,São Paulo,1,2,1,3,2019
Internacional,Ceará SC,1,0,3,3,2019
Chapecoense,Bahia,0,0,1,1,2019
Flamengo,Botafogo,3,2,5,2,2019
Santos,Avaí,3,1,2,2,2019
Goiás,Atlético-MG,0,0,1,0,2019
Fortaleza,Corinthians,1,3,2,1,2019
CSA,Grêmio,0,0,4,2,2019
Ceará SC,Fortaleza,2,1,3,1,2019
Fluminense,Internacional,2,1,1,2,2019
Santos,Goiás,6,1,3,4,2019
Avaí,Botafogo,0,2,2,1,2019
Bahia,Flamengo,3,0,1,1,2019
Corinthians,Palmeiras,1,1,1,3,2019
Vasco da Gama,CSA,0,0,4,1,2019
Atlético-MG,Cruzeiro,2,0,2,3,2019
Grêmio,Chapecoense,3,3,4,3,2019
Athletico-PR,São Paulo,0,1,3,3,2019
Ceará SC,Chapecoense,4,1,3,2,2019
São Paulo,Santos,3,2,6,1,2019
Flamengo,Grêmio,3,1,4,2,2019
Atlético-MG,Fluminense,2,1,4,3,2019
Internacional,Corinthians,0,0,3,2,2019
Palmeiras,Bahia,2,2,6,4,2019
Avaí,Cruzeiro,2,2,4,2,2019
Botafogo,Athletico-PR,2,1,3,1,2019
Goiás,Vasco da Gama,0,1,4,4,2019
CSA,Fortaleza,0,2,3,1,2019
Corinthians,Botafogo,2,0,2,3,2019
Fortaleza,Internacional,0,1,2,2,2019
Vasco da Gama,Flamengo,1,4,0,3,2019
Athletico-PR,Atlético-MG,1,0,3,1,2019
Grêmio,Palmeiras,1,1,0,0,2019
Fluminense,CSA,0,1,1,2,2019
São Paulo,Ceará SC,1,0,3,2,2019
Bahia,Goiás,1,1,2,3,2019
Cruzeiro,Santos,2,0,2,0,2019
Chapecoense,Avaí,1,0,1,0,2019
Atlético-MG,Bahia,0,1,0,2,2019
Grêmio,Athletico-PR,2,1,3,1,2019
Goiás,Internacional,2,1,2,2,2019
Vasco da Gama,São Paulo,2,0,4,3,2019
Santos,Fortaleza,3,3,3,3,2019
Ceará SC,Flamengo,0,3,3,0,2019
Avaí,Corinthians,1,1,0,1,2019
CSA,Cruzeiro,1,1,3,3,2019
Botafogo,Chapecoense,0,0,2,1,2019
Palmeiras,Fluminense,3,0,0,2,2019
São Paulo,Grêmio,0,0,1,1,2019
Bahia,CSA,1,0,1,1,2019
Chapecoense,Santos,0,1,2,4,2019
Athletico-PR,Ceará SC,1,0,1,3,2019
Internacional,Botafogo,3,2,4,4,2019
Flamengo,Palmeiras,3,0,2,2,2019
Fortaleza,Goiás,2,0,3,2,2019
Cruzeiro,Vasco da Gama,1,0,3,4,2019
Corinthians,Atlético-MG,1,0,0,1,2019
Fluminense,Avaí,0,1,3,1,2019
Vasco da Gama,Bahia,0,2,3,1,2019
Corinthians,Ceará SC,2,2,1,1,2019
Avaí,Flamengo,0,3,1,2,2019
Fortaleza,Fluminense,0,1,1,2,2019
Internacional,São Paulo,1,0,1,5,2019
Goiás,Palmeiras,1,2,5,1,2019
Cruzeiro,Grêmio,1,4,2,1,2019
Santos,Athletico-PR,1,1,3,6,2019
Botafogo,Atlético-MG,2,1,4,3,2019
CSA,Chapecoense,2,0,3,2,2019
Flamengo,Santos,1,0,2,5,2019
Chapecoense,Vasco da Gama,1,2,2,5,2019
Palmeiras,Cruzeiro,1,0,2,3,2019
Ceará SC,Botafogo,0,0,1,1,2019
Athletico-PR,Avaí,0,1,1,0,2019
Atlético-MG,Internacional,1,3,0,1,2019
Bahia,Fortaleza,1,1,1,1,2019
Grêmio,Goiás,3,0,0,1,2019
Fluminense,Corinthians,1,0,4,1,2019
São Paulo,CSA,1,1,1,3,2019
Botafogo,São Paulo,1,2,3,1,2019
Cruzeiro,Flamengo,1,2,2,2,2019
Corinthians,Bahia,2,1,2,4,2019
Santos,Grêmio,0,3,1,4,2019
Internacional,Chapecoense,1,0,0,4,2019
Fortaleza,Palmeiras,0,1,4,1,2019
CSA,Ceará SC,1,0,1,2,2019
Vasco da Gama,Athletico-PR,1,1,3,3,2019
Goiás,Fluminense,3,0,4,0,2019
Avaí,Atlético-MG,1,0,3,1,2019
Ceará SC,Cruzeiro,0,0,2,3,2019
Bahia,Botafogo,2,0,1,0,2019
Flamengo,Internacional,3,1,1,1,2019
São Paulo,Goiás,0,1,2,4,2019
Palmeiras,CSA,6,2,0,1,2019
Fluminense,Santos,1,1,2,3,2019
Grêmio,Avaí,6,1,1,1,2019
Athletico-PR,Fortaleza,4,1,3,0,2019
Atlético-MG,Vasco da Gama,1,2,3,2,2019
Chapecoense,Corinthians,0,1,3,2,2019
Flamengo,São Paulo,0,0,3,4,2019
Corinthians,Vasco da Gama,1,0,3,5,2019
Santos,CSA,2,0,1,2,2019
Internacional,Palmeiras,1,1,3,2,2019
Fluminense,Grêmio,2,1,1,4,2019
Athletico-PR,Chapecoense,1,1,0,1,2019
Atlético-MG,Ceará SC,2,1,0,2,2019
Avaí,Bahia,0,2,1,2,2019
Fortaleza,Botafogo,1,0,3,2,2019
Goiás,Cruzeiro,1,0,0,3,2019
Vasco da Gama,Santos,0,1,4,2,2019
São Paulo,Fortaleza,2,1,3,2,2019
Grêmio,Corinthians,0,0,3,2,2019
Bahia,Athletico-PR,1,2,2,3,2019
Cruzeiro,Internacional,1,1,5,3,2019
Chapecoense,Flamengo,0,1,1,0,2019
Ceará SC,Goiás,0,1,1,0,2019
Palmeiras,Atlético-MG,1,1,3,4,2019
Botafogo,Fluminense,0,1,4,1,2019
CSA,Avaí,3,1,3,3,2019
CSA,Internacional,1,0,2,2,2019
Botafogo,Goiás,3,1,4,2,2019
Fortaleza,Chapecoense,2,0,4,2,2019
Bahia,São Paulo,0,0,2,1,2019
Grêmio,Ceará SC,2,1,0,3,2019
Cruzeiro,Fluminense,0,0,4,3,2019
Santos,Palmeiras,2,0,1,2,2019
Corinthians,Athletico-PR,2,2,2,2,2019
Avaí,Vasco da Gama,0,0,1,1,2019
Flamengo,Atlético-MG,3,1,0,3,2019
Goiás,CSA,1,0,2,3,2019
Fluminense,Bahia,2,0,0,1,2019
Palmeiras,Botafogo,1,0,2,2,2019
Internacional,Santos,0,0,2,3,2019
Athletico-PR,Flamengo,0,2,2,4,2019
Ceará SC,Avaí,1,0,1,3,2019
Vasco da Gama,Fortaleza,1,0,2,4,2019
São Paulo,Corinthians,1,0,0,1,2019
Atlético-MG,Grêmio,1,4,4,1,2019
Chapecoense,Cruzeiro,1,1,1,1,2019
CSA,Atlético-MG,2,2,3,3,2019
Grêmio,Bahia,0,1,3,2,2019
Fortaleza,Flamengo,1,2,1,3,2019
Cruzeiro,São Paulo,1,0,2,2,2019
Palmeiras,Chapecoense,1,0,1,3,2019
Goiás,Corinthians,2,2,3,4,2019
Vasco da Gama,Botafogo,2,1,1,0,2019
Avaí,Internacional,0,2,1,3,2019
Santos,Ceará SC,2,1,3,4,2019
Fluminense,Athletico-PR,1,2,0,1,2019
Fortaleza,Grêmio,2,1,4,2,2019
Corinthians,Cruzeiro,1,2,3,1,2019
Internacional,Vasco da Gama,0,1,3,1,2019
São Paulo,Avaí,1,0,4,1,2019
Atlético-MG,Santos,2,0,3,4,2019
Flamengo,Fluminense,2,0,3,5,2019
Chapecoense,Goiás,2,2,2,5,2019
Athletico-PR,Palmeiras,1,1,1,2,2019
Bahia,Ceará SC,1,2,2,3,2019
Botafogo,CSA,2,1,2,2,2019
Corinthians,Santos,0,0,3,1,2019
Ceará SC,Vasco da Gama,1,1,3,3,2019
Bahia,Internacional,2,3,1,5,2019
Fluminense,Chapecoense,1,1,1,4,2019
Cruzeiro,Fortaleza,1,1,3,1,2019
Athletico-PR,Goiás,4,1,1,1,2019
Grêmio,Botafogo,3,0,3,2,2019
São Paulo,Atlético-MG,2,0,0,0,2019
Avaí,Palmeiras,1,2,3,2,2019
Flamengo,CSA,1,0,1,2,2019
Palmeiras,São Paulo,3,0,0,0,2019
Avaí,Fortaleza,1,3,4,1,2019
Atlético-MG,Chapecoense,0,2,3,3,2019
Ceará SC,Fluminense,2,0,1,1,2019
Vasco da Gama,Grêmio,1,3,2,2,2019
CSA,Corinthians,2,1,6,2,2019
Santos,Bahia,1,0,5,3,2019
Goiás,Flamengo,2,2,5,3,2019
Internacional,Athletico-PR,1,1,3,2,2019
Botafogo,Cruzeiro,0,2,1,3,2019
Fortaleza,Atlético-MG,2,2,3,3,2019
Fluminense,Vasco da Gama,0,0,2,3,2019
Palmeiras,Ceará SC,1,0,2,2,2019
Chapecoense,São Paulo,0,3,2,2,2019
Flamengo,Corinthians,4,1,0,1,2019
Athletico-PR,CSA,1,0,3,4,2019
Grêmio,Internacional,2,0,2,2,2019
Santos,Botafogo,4,1,1,0,2019
Cruzeiro,Bahia,1,1,3,0,2019
Goiás,Avaí,2,0,1,3,2019
Corinthians,Fortaleza,3,2,2,3,2019
Atlético-MG,Goiás,2,0,0,2,2019
Avaí,Santos,1,2,5,2,2019
Athletico-PR,Cruzeiro,0,0,3,1,2019
Vasco da Gama,Palmeiras,1,2,7,4,2019
Bahia,Chapecoense,1,1,1,3,2019
Ceará SC,Internacional,2,0,2,2,2019
São Paulo,Fluminense,0,2,2,1,2019
Botafogo,Flamengo,0,1,5,2,2019
Grêmio,CSA,2,1,3,2,2019
Goiás,Santos,0,3,4,2,2019
Palmeiras,Corinthians,1,1,2,1,2019
Internacional,Fluminense,2,1,3,2,2019
Cruzeiro,Atlético-MG,0,0,1,1,2019
São Paulo,Athletico-PR,0,1,2,2,2019
Flamengo,Bahia,3,1,1,0,2019
Chapecoense,Grêmio,0,1,2,2,2019
Fortaleza,Ceará SC,1,0,4,4,2019
CSA,Vasco da Gama,0,3,2,2,2019
Botafogo,Avaí,2,0,4,3,2019
Flamengo,Vasco da Gama,4,4,6,5,2019
Santos,Cruzeiro,4,1,2,2,2019
Palmeiras,Grêmio,1,2,2,3,2019
Atlético-MG,Athletico-PR,0,1,3,2,2019
Goiás,Bahia,4,3,2,2,2019
Botafogo,Corinthians,1,0,4,2,2019
Ceará SC,São Paulo,1,1,3,1,2019
Internacional,Fortaleza,2,2,4,2,2019
Avaí,Chapecoense,0,1,0,1,2019
CSA,Fluminense,0,1,2,2,2019
Santos,São Paulo,1,1,0,3,2019
Fluminense,Atlético-MG,1,1,2,3,2019
Grêmio,Flamengo,0,1,1,3,2019
Bahia,Palmeiras,1,1,2,0,2019
Chapecoense,Ceará SC,1,0,2,1,2019
Athletico-PR,Botafogo,1,0,4,1,2019
Corinthians,Internacional,0,0,0,2,2019
Fortaleza,CSA,3,0,0,1,2019
Vasco da Gama,Goiás,1,1,2,2,2019
Cruzeiro,Avaí,0,0,3,2,2019
Internacional,Goiás,1,2,2,4,2019
Chapecoense,Botafogo,0,1,2,3,2019
Bahia,Atlético-MG,1,1,1,1,2019
Athletico-PR,Grêmio,2,0,3,4,2019
Flamengo,Ceará SC,4,1,2,1,2019
Corinthians,Avaí,3,0,0,1,2019
Fluminense,Palmeiras,1,0,3,4,2019
Fortaleza,Santos,2,1,2,8,2019
São Paulo,Vasco da Gama,1,0,4,2,2019
Cruzeiro,CSA,0,1,0,4,2019
Botafogo,Internacional,0,1,2,3,2019
Ceará SC,Athletico-PR,1,1,7,2,2019
Avaí,Fluminense,1,1,4,5,2019
Palmeiras,Flamengo,1,3,1,2,2019
Goiás,Fortaleza,1,2,1,4,2019
CSA,Bahia,1,2,3,4,2019
Atlético-MG,Corinthians,2,1,3,1,2019
Santos,Chapecoense,2,0,3,4,2019
Grêmio,São Paulo,3,0,0,0,2019
Vasco da Gama,Cruzeiro,1,0,3,3,2019
Athletico-PR,Santos,1,0,2,4,2019
Ceará SC,Corinthians,0,1,3,4,2019
Atlético-MG,Botafogo,2,0,1,3,2019
Chapecoense,CSA,3,0,1,2,2019
Fluminense,Fortaleza,0,0,2,1,2019
São Paulo,Internacional,2,1,3,4,2019
Grêmio,Cruzeiro,2,0,0,4,2019
Palmeiras,Goiás,5,1,5,1,2019
Bahia,Vasco da Gama,1,1,3,2,2019
Flamengo,Avaí,6,1,0,1,2019
Corinthians,Fluminense,1,2,1,3,2019
Santos,Flamengo,4,0,2,3,2019
Botafogo,Ceará SC,1,1,0,2,2019
CSA,São Paulo,1,2,1,3,2019
Internacional,Atlético-MG,2,1,4,1,2019
Cruzeiro,Palmeiras,0,2,0,1,2019
Goiás,Grêmio,3,2,1,1,2019
