rodada_id,clube_mand,clube_vis,clube_mand_gol,clube_vis_gol,clube_mand_ca,clube_vis_ca,clube_mand_cv,clube_vis_cv
1,Fluminense,Figueirense,3,0,0,2,0,0
1,Internacional,EC Vitória,1,0,2,3,0,0
1,Chapecoense,Coritiba,0,0,0,1,0,0
1,Athletico-PR,Grêmio,1,0,1,2,0,0
1,São Paulo,Botafogo,3,0,1,2,0,0
1,Bahia,Cruzeiro,1,2,4,4,0,0
1,Atlético-MG,Corinthians,0,0,0,0,0,0
1,Flamengo,Goiás,0,0,4,2,0,0
1,Santos,Sport Recife,1,1,1,3,0,0
1,Criciúma,Palmeiras,1,2,3,5,0,0
2,Coritiba,Santos,0,0,3,4,0,0
2,Palmeiras,Fluminense,0,1,1,2,0,0
2,Botafogo,Internacional,2,2,2,4,1,0
2,EC Vitória,Athletico-PR,2,2,1,1,0,0
2,Corinthians,Flamengo,2,0,2,1,0,1
2,Cruzeiro,São Paulo,1,1,2,1,0,0
2,Figueirense,Bahia,0,2,3,2,0,0
2,Grêmio,Atlético-MG,2,1,3,3,1,0
2,Goiás,Criciúma,1,0,0,1,0,0
2,Sport Recife,Chapecoense,2,1,1,1,0,0
3,Santos,Grêmio,0,0,1,1,0,0
3,Athletico-PR,Cruzeiro,2,3,3,3,1,0
3,São Paulo,Coritiba,2,2,3,3,0,0
3,Fluminense,EC Vitória,1,2,1,1,0,0
3,Criciúma,Figueirense,1,0,1,5,0,1
3,Internacional,Sport Recife,2,1,2,2,0,0
3,Bahia,Botafogo,1,0,4,4,0,0
3,Flamengo,Palmeiras,4,2,2,4,0,0
3,Chapecoense,Corinthians,0,1,3,3,0,0
3,Atlético-MG,Goiás,0,1,2,1,0,0
4,Internacional,Athletico-PR,2,1,3,1,0,0
4,Palmeiras,Goiás,2,0,5,4,0,0
4,Botafogo,Criciúma,6,0,1,5,0,0
4,Chapecoense,Grêmio,1,2,2,4,0,0
4,Fluminense,Flamengo,2,0,2,4,0,0
4,Atlético-MG,Cruzeiro,2,1,5,2,0,2
4,São Paulo,Corinthians,1,1,3,2,0,0
4,Figueirense,Santos,0,2,2,1,1,1
4,Coritiba,Sport Recife,0,1,3,1,0,0
4,Bahia,EC Vitória,1,1,3,3,1,1
5,Goiás,Botafogo,2,0,3,0,0,0
5,Cruzeiro,Coritiba,3,2,2,1,0,0
